id,index,name,emotion,spritePosition,textBoxPosition,sentence,voice
1,0,Robot,Sigh,Right,Top,1000004,Robot
1,1,Robot,Sigh,Left,Bottom,1000005,Robot
1,2,Robot,Angry,Right,Top,1000006,Robot
1,3,,Normal,None,Bottom,1000007,
1,4,"Robot,Robot","Angry,Sigh",Both,Top,1000008,Robot
100,0,Robot,Sigh,Right,Bottom,10001,Robot
100,1,Robot,Sigh,Right,Bottom,10002,Robot
100,2,Robot,Sigh,Right,Bottom,10003,Robot
100,3,Robot,Laugh,Right,Bottom,10004,Robot
100,4,Air&Hook,Laugh,Left,Bottom,10005,Air&Hook
100,5,"Air&Hook,Robot","Laugh,Sigh",Both,Bottom,10006,Robot
101,2,Speaker,Normal,Right,Top,10007,Robot
102,0,Speaker,Normal,Right,Bottom,10008,Robot
102,1,Speaker,Normal,Right,Bottom,10009,Robot
103,0,Speaker,Normal,Right,Bottom,10010,Robot
104,0,Speaker,Normal,Right,Bottom,10011,Robot
104,1,Speaker,Normal,Right,Bottom,10012,Robot
104,2,Speaker,Normal,Right,Bottom,10013,Robot
105,0,Speaker,Normal,Right,Bottom,10014,Robot
105,1,Speaker,Normal,Right,Bottom,10015,Robot
110,0,Speaker,Normal,Right,Bottom,10100,Robot
110,1,Speaker,Normal,Right,Bottom,10101,Robot
110,2,Speaker,Normal,Right,Bottom,10104,Robot
110,3,Speaker,Normal,Right,Bottom,10105,Robot
110,4,Air&Hook,Normal,Left,Bottom,10106,Air&Hook
111,0,Speaker,Normal,Right,Bottom,10107,Robot
111,1,Speaker,Normal,Right,Bottom,10108,Robot
111,2,Speaker,Normal,Right,Bottom,10110,Robot
111,3,Speaker,Normal,Right,Bottom,10111,Robot
112,0,Speaker,Normal,Right,Bottom,10112,Robot
112,1,Speaker,Normal,Right,Bottom,10113,Robot
112,2,Speaker,Normal,Right,Bottom,10114,Robot
113,0,Speaker,Normal,Right,Bottom,10115,Robot
113,1,Speaker,Normal,Right,Bottom,10116,Robot
114,0,Speaker,Normal,Right,Bottom,10117,Robot
114,1,Speaker,Normal,Right,Bottom,10118,Robot
114,2,Speaker,Normal,Right,Bottom,10119,Robot
115,0,Speaker,Normal,Right,Bottom,10120,Robot
115,1,Speaker,Normal,Right,Bottom,10121,Robot
116,0,Robot,Sigh,Right,Bottom,10122,Robot
116,1,Robot,Sigh,Right,Bottom,10123,Robot
116,2,Robot,Sigh,Right,Bottom,10124,Robot
117,0,Speaker,Normal,Left,Bottom,10125,Robot
117,1,Speaker,Normal,Left,Bottom,10126,Robot
118,0,Speaker,Normal,Left,Bottom,10127,Robot
118,1,Speaker,Normal,Left,Bottom,10128,Robot
119,0,Speaker,Normal,Right,Bottom,10129,Robot
119,1,Speaker,Normal,Right,Bottom,10130,Robot
119,2,Speaker,Normal,Right,Bottom,10131,Robot
120,0,Robot,Sigh,Right,Bottom,10132,Robot
120,1,Robot,Dumbfounded,Right,Bottom,10133,Robot
120,2,Robot,Sigh,Right,Bottom,10134,Robot
121,0,Robot,Sigh,Right,Bottom,10135,Robot
121,1,Robot,Sigh,Right,Bottom,10136,Robot
121,2,Robot,Sigh,Right,Bottom,10137,Robot
122,0,Robot,Sigh,Right,Bottom,10138,Robot
122,1,Robot,Laugh,Right,Bottom,10139,Robot
123,0,Speaker,Normal,Left,Bottom,10143,Robot
123,1,Speaker,Normal,Left,Bottom,10148,Robot
123,2,Speaker,Normal,Left,Bottom,10149,Robot
124,0,Robot,Sigh,Right,Bottom,10150,Robot
1000,0,Robot,Sigh,Right,Bottom,50000,Robot
1000,1,Robot,Dumbfounded,Right,Bottom,50001,Robot
1001,0,Robot,Sigh,Right,Bottom,50002,Robot
1001,1,Robot,Sigh,Right,Bottom,50003,Robot
